Company,Pays,Année,Primes Emises (mn USD),Croissance Primes (%),Taux Penetration (%),Densite Assurance (USD/hab),Part de marché pays (%),Primes Emises Année Précédente (mn USD),Line_Of_Business,Company_Type
Leadway Assurance Co Ltd,Nigeria,2023,91.64,-22.49,,,14.68,118.24,Life,Insurance
Linkage Assurance Plc,Nigeria,2023,25.29,-16.99,,,2.89,30.47,Non-Life (P&C),Insurance
Mutual Benefit Life Assurance Co Ltd,Nigeria,2023,21.78,-32.39,,,3.49,32.21,Life,Insurance
Mutual Benefits Assurance plc,Nigeria,2023,36.92,-0.13,,,4.22,36.97,Non-Life (P&C),Insurance
NEM Insurance Co Plc,Nigeria,2023,97.11,25.86,,,11.1,77.15,Non-Life (P&C),Insurance
NSIA Insurance Limited,Nigeria,2023,18.12,-26.31,,,2.07,24.6,Non-Life (P&C),Insurance
NSIA Insurance Limited,Nigeria,2023,16.38,-7.44,,,2.62,17.7,Life,Insurance
Nigeria Agricultural Insurance Corporation,Nigeria,2023,1.32,-68.68,,,0.15,4.22,Non-Life (P&C),Insurance
Noor Takaful Insurance Ltd,Nigeria,2023,4.69,35.47,,,0.54,3.46,Non-Life (P&C),Insurance
Noor Takaful Insurance Ltd,Nigeria,2023,5.36,-34.75,,,0.86,8.21,Life,Insurance
Old Mutual Nigeria General Insurance Company Ltd,Nigeria,2023,12.98,-13.24,,,1.48,14.96,Non-Life (P&C),Insurance
Prestige Assurance Plc,Nigeria,2023,23.04,-21.14,,,2.63,29.21,Non-Life (P&C),Insurance
Prudential Zenith Life Insurance Ltd,Nigeria,2023,36.96,146.29,,,5.92,15.01,Life,Insurance
Regency Insurance Co Ltd,Nigeria,2023,9.32,-28.77,,,1.07,13.08,Non-Life (P&C),Insurance
Royal Exchange Assurance Nigeria Plc,Nigeria,2023,25.97,-22.09,,,2.97,33.33,Non-Life (P&C),Insurance
Royal Exchange Prudential Life Assurance Plc,Nigeria,2023,3.62,-37.55,,,0.58,5.8,Life,Insurance
STACO Insurance Plc,Nigeria,2023,3.32,50.5,,,0.38,2.21,Non-Life (P&C),Insurance
SUNU Assurance plc,Nigeria,2023,12.64,-6.76,,,1.44,13.55,Non-Life (P&C),Insurance
Salam Takaful Insurance Co Ltd,Nigeria,2023,1.41,30.21,,,0.16,1.09,Non-Life (P&C),Insurance
Salam Takaful Insurance Co Ltd,Nigeria,2023,0.36,-27.66,,,0.06,0.5,Life,Insurance
Sanlam General Insurance,Nigeria,2023,25.02,,,,2.86,,Non-Life (P&C),Insurance
Sanlam Life,Nigeria,2023,85.58,,,,13.71,,Life,Insurance
Sovereign Trust Insurance Plc,Nigeria,2023,30.19,8.02,,,3.45,27.95,Non-Life (P&C),Insurance
Stanbic IBTC Insurance Limited,Nigeria,2023,23.29,-42.32,,,3.73,40.38,Life,Insurance
Sterling Assurance Nigeria Ltd,Nigeria,2023,9.19,-17.74,,,1.05,11.17,Non-Life (P&C),Insurance
Tangerine General Insurance Limited,Nigeria,2023,14.22,-10.87,,,1.63,15.96,Non-Life (P&C),Insurance
Tangerine Life Insurance Ltd,Nigeria,2023,12.51,-33.12,,,2.0,18.7,Life,Insurance
Unitrust Insurance Company Ltd,Nigeria,2023,11.93,,,,1.36,,Non-Life (P&C),Insurance
Universal Insurance Company Ltd,Nigeria,2023,15.03,13.0,,,1.72,13.3,Non-Life (P&C),Insurance
Veritas Kapital Assurance Plc,Nigeria,2023,11.3,-1.05,,,1.29,11.42,Non-Life (P&C),Insurance
Zenith General Insurance Company Ltd,Nigeria,2023,29.43,-13.78,,,3.37,34.14,Non-Life (P&C),Insurance
AMSA Assurances Vie,Senegal,2024,35.13,15.92,,,11.87,30.3,Non-Life (P&C),Insurance
ASKIA Assurances,Senegal,2024,26.32,15.63,,,8.89,22.76,Non-Life (P&C),Insurance
Allianz Senegal Assurances Vie,Senegal,2024,23.88,-30.02,,,12.62,34.12,Life,Insurance
Assurances La Providence,Senegal,2024,7.68,-5.7,,,2.6,8.15,Non-Life (P&C),Insurance
Assurances la Securite Senegalaise,Senegal,2024,5.94,,,,2.01,,Non-Life (P&C),Insurance
Axa Assurances,Senegal,2024,44.61,11.56,,,15.07,39.99,Non-Life (P&C),Insurance
Compagnie Nationale D'Assurance Agricole du Senegal (CNAAS),Senegal,2024,3.27,,,,1.11,,Non-Life (P&C),Insurance
Finafrica Assurances Senegal,Senegal,2024,17.39,-5.6,,,5.88,18.42,Non-Life (P&C),Insurance
La Senegalaise de L'Assurance Vie (SENVIE),Senegal,2024,6.49,20.28,,,3.43,5.39,Life,Insurance
NSIA VIE Senegal,Senegal,2024,15.04,-11.96,,,7.95,17.08,Life,Insurance
Prevoyance Assurances(PA),Senegal,2024,28.22,0.58,,,9.53,28.06,Non-Life (P&C),Insurance
SONAC SA,Senegal,2024,5.77,5.11,,,1.95,5.49,Non-Life (P&C),Insurance
SONAM ASSURANCES MUTUELLES,Senegal,2024,12.58,-5.39,,,4.25,13.29,Non-Life (P&C),Insurance
SONAM Mutuelle,Senegal,2024,1.45,5.62,,,0.49,1.37,Non-Life (P&C),Insurance
SUNU,Senegal,2024,14.67,39.02,,,4.96,10.55,Non-Life (P&C),Insurance
SanlamAllianz Senegal,Senegal,2024,48.0,,,,16.22,,Non-Life (P&C),Insurance
Sonam Vie,Senegal,2024,43.79,11.38,,,23.14,39.32,Life,Insurance
WAFA ASSURANCE SA,Senegal,2024,10.9,5.2,,,3.68,10.36,Non-Life (P&C),Insurance
WAFA ASSURANCE SA,Senegal,2024,34.71,50.94,,,18.34,23.0,Life,Insurance
AVBOB Mutual Assurance Society,South Africa,2024,226.83,-32.86,,,0.58,337.83,Life,Insurance
Absa Insurance Company Limited,South Africa,2024,217.53,7.7,,,1.83,201.98,Non-Life (P&C),Insurance
Absa Life Limited,South Africa,2024,269.74,3.93,,,0.69,259.54,Life,Insurance
Allianz Global Corporate And Specialty South Africa Limited,South Africa,2024,77.89,,,,0.66,,Non-Life (P&C),Insurance
Assupol Holdings Limited,South Africa,2024,266.19,-2.31,,,0.68,272.49,Life,Insurance
Auto And General Insurance Company (RF) Limited,South Africa,2024,209.3,18.39,,,1.76,176.79,Non-Life (P&C),Insurance
BRYTE Insurance Company Limited,South Africa,2024,389.71,3.91,,,3.28,375.05,Non-Life (P&C),Insurance
Bryte Life Company Limited,South Africa,2024,5.75,-10.17,,,0.01,6.41,Life,Insurance
Budget Insurance Company (RF)Limited,South Africa,2024,119.09,11.93,,,1.0,106.4,Non-Life (P&C),Insurance
Centriq Insurance Company Limited,South Africa,2024,206.59,18.78,,,1.74,173.93,Non-Life (P&C),Insurance
Centriq Life Insurance,South Africa,2024,448.11,22.61,,,1.14,365.47,Life,Insurance
Chubb Insurance South Africa Limited,South Africa,2024,22.11,-45.23,,,0.19,40.37,Non-Life (P&C),Insurance
Compass Insurance Company Limited,South Africa,2024,128.05,11.45,,,1.08,114.9,Non-Life (P&C),Insurance
Dial Direct Insurance (RF) Limited,South Africa,2024,39.55,6.78,,,0.33,37.04,Non-Life (P&C),Insurance
Discovery Life Limited,South Africa,2024,1180.12,-31.49,,,3.0,1722.63,Life,Insurance
Escap SOC Limited,South Africa,2024,305.56,25.06,,,2.57,244.32,Non-Life (P&C),Insurance
Exxaro Insurance Company Limited,South Africa,2024,25.08,,,,0.21,,Non-Life (P&C),Insurance
First For Women Insurance Company (RF) Limited,South Africa,2024,60.64,,,,0.51,,Non-Life (P&C),Insurance
Guardrisk Insurance Company Limited,South Africa,2024,710.47,-15.16,,,5.99,837.42,Non-Life (P&C),Insurance
Guardrisk Life Limited,South Africa,2024,562.14,-4.12,,,1.43,586.29,Life,Insurance
Hollard Life Assurance Company Limited,South Africa,2024,383.91,2.96,,,0.98,372.89,Life,Insurance
Hollard Specialist Insurance Company,South Africa,2024,17.89,-37.71,,,0.15,28.73,Non-Life (P&C),Insurance
Hollard Specialist Insurance Company,South Africa,2024,28.85,-12.83,,,0.07,33.09,Life,Insurance
Infiniti Insurance Limited,South Africa,2024,82.76,9.2,,,0.7,75.79,Non-Life (P&C),Insurance
King Price Insurance Company Limited,South Africa,2024,203.2,17.86,,,1.71,172.41,Non-Life (P&C),Insurance
Liberty Group Limited,South Africa,2024,1956.72,15.64,,,4.98,1692.12,Life,Insurance
Lombard Insurance Company Limited,South Africa,2024,181.43,-14.68,,,1.53,212.65,Non-Life (P&C),Insurance
MMI Group Limited,South Africa,2024,1422.2,-16.13,,,3.62,1695.75,Life,Insurance
Miway Insurance Limited,South Africa,2024,202.88,10.36,,,1.71,183.84,Non-Life (P&C),Insurance
Momentum Short Term Insurance Company Limited,South Africa,2024,178.51,7.59,,,1.5,165.92,Non-Life (P&C),Insurance
Nedgroup Insurance Company Limited,South Africa,2024,85.07,20.26,,,0.72,70.74,Non-Life (P&C),Insurance
Nedgroup Life Assurance Company Limited,South Africa,2024,131.9,4.18,,,0.34,126.6,Life,Insurance
OUTsurance Insurance Company Limited,South Africa,2024,663.74,9.73,,,5.59,604.88,Non-Life (P&C),Insurance
OUTsurance Life Insurance Company Limited,South Africa,2024,51.63,1.32,,,0.13,50.95,Life,Insurance
Old Mutual Insure Limited,South Africa,2024,735.08,8.27,,,6.19,678.91,Non-Life (P&C),Insurance
Old Mutual Life Assurance Company (South Africa) Limited,South Africa,2024,2105.72,3.79,,,5.36,2028.81,Life,Insurance
Renasa Insurance Company Limited,South Africa,2024,134.37,,,,1.13,,Non-Life (P&C),Insurance
Sanlam Life Insurance Limited,South Africa,2024,5153.79,-15.31,,,13.12,6085.66,Life,Insurance
Santam Limited,South Africa,2024,1935.17,8.18,,,16.31,1788.87,Non-Life (P&C),Insurance
Sasria SOC Limited,South Africa,2024,286.51,15.65,,,2.41,247.74,Non-Life (P&C),Insurance
Standard Insurance Limited,South Africa,2024,200.03,6.46,,,1.69,187.89,Non-Life (P&C),Insurance
The Hollard Insurance Company Limited,South Africa,2024,881.43,0.45,,,7.43,877.49,Non-Life (P&C),Insurance
Western National Insurance Company Limited,South Africa,2024,117.92,,,,0.99,,Non-Life (P&C),Insurance
Alliance Insurance Corp (T) Ltd,Tanzania,2024,50.49,9.1,,,11.46,46.28,Non-Life (P&C),Insurance
Alliance Life Insurance Co Limited,Tanzania,2024,13.75,-12.87,,,11.56,15.78,Life,Insurance
Assemble Insurance Tanzania Ltd.,Tanzania,2024,16.41,3.88,,,3.72,15.8,Non-Life (P&C),Insurance
Beema Star Insurance Ltd.,Tanzania,2024,0.03,118.55,,,0.01,0.01,Non-Life (P&C),Insurance
Britam Insurance Tanzania Ltd.,Tanzania,2024,14.72,-7.69,,,3.34,15.95,Non-Life (P&C),Insurance
Bumaco Insurance Company Ltd.,Tanzania,2024,7.43,-0.84,,,1.69,7.49,Non-Life (P&C),Insurance
Bumaco Insurance Company Ltd.,Tanzania,2024,0.29,29.66,,,0.25,0.23,Life,Insurance
Crdb,Tanzania,2024,10.36,1241.11,,,2.35,0.77,Non-Life (P&C),Insurance
First Assurance Company Ltd.,Tanzania,2024,6.55,3.88,,,1.49,6.31,Non-Life (P&C),Insurance
GA Insurance Tanzania Ltd.,Tanzania,2024,5.5,6.84,,,1.25,5.14,Non-Life (P&C),Insurance
ICEA Lion Insurance Company Tanzania Ltd.,Tanzania,2024,12.03,10.57,,,2.73,10.88,Non-Life (P&C),Insurance
Jubilee Health Insurance Company of Tanzania Ltd.,Tanzania,2024,15.92,17.89,,,3.61,13.51,Non-Life (P&C),Insurance
Jubilee Life Insurance Corporation of Tanzania Ltd.,Tanzania,2024,14.3,49.29,,,12.02,9.58,Life,Insurance
MO Assurance Company Ltd.,Tanzania,2024,12.61,2.27,,,2.86,12.33,Non-Life (P&C),Insurance
Maxinsure (Tanzania) Ltd.,Tanzania,2024,3.63,-15.43,,,0.82,4.3,Non-Life (P&C),Insurance
Mayfair Insurance Company Tanzania Ltd.,Tanzania,2024,18.33,1.98,,,4.16,17.97,Non-Life (P&C),Insurance
Meticulous Tanzania Insurance Company Ltd.,Tanzania,2024,9.99,-16.48,,,2.27,11.96,Non-Life (P&C),Insurance
Metropolitan Tanzania Life Assurance Co Ltd,Tanzania,2024,6.93,29.5,,,5.83,5.35,Life,Insurance
Mgen Tanzania Insurance Company Ltd.,Tanzania,2024,2.48,-8.26,,,0.56,2.7,Non-Life (P&C),Insurance
Milembe Insurance Company Ltd.,Tanzania,2024,3.05,4.81,,,0.69,2.91,Non-Life (P&C),Insurance
National Insurance Corporation of Tanzania (Life) Ltd.,Tanzania,2024,46.45,48.37,,,10.54,31.31,Non-Life (P&C),Insurance
National Insurance Corporation of Tanzania (Life) Ltd.,Tanzania,2024,5.69,15.17,,,4.78,4.94,Life,Insurance
Newtan Insurance,Tanzania,2024,7.93,,,,1.8,,Non-Life (P&C),Insurance
Phoenix of Tanzania Assurance Company Ltd.,Tanzania,2024,18.87,9.47,,,4.28,17.24,Non-Life (P&C),Insurance
Reliance Insurance Co  Ltd,Tanzania,2024,19.51,3.83,,,4.43,18.79,Non-Life (P&C),Insurance
Resolution Insurance Ltd.,Tanzania,2024,2.65,669.1,,,0.6,0.34,Non-Life (P&C),Insurance
Sanlam General Insurance Tanzania Ltd.,Tanzania,2024,16.24,0.0,,,3.69,16.24,Non-Life (P&C),Insurance
Sanlam Life Insurance Tanzania Ltd.,Tanzania,2024,77.98,4.88,,,65.56,74.35,Life,Insurance
Strategis Insurance Tanzania Ltd.,Tanzania,2024,48.91,6.72,,,11.1,45.83,Non-Life (P&C),Insurance
Tanzindia Assurance Company Ltd.,Tanzania,2024,8.14,0.73,,,1.85,8.08,Non-Life (P&C),Insurance
The Heritage Insurance Company Tanzania Ltd.,Tanzania,2024,27.22,3.93,,,6.18,26.19,Non-Life (P&C),Insurance
The Jubilee Insurance Co of Tanzania Ltd,Tanzania,2024,32.46,-7.92,,,7.37,35.25,Non-Life (P&C),Insurance
Zanzibar Insurance Corporation,Tanzania,2024,22.75,40.42,,,5.16,16.2,Non-Life (P&C),Insurance
CIF Vie,Togo,2023,6.45,,,,8.79,,Life,Insurance
Fidelia Assurances,Togo,2023,5.4,16.71,,,7.12,4.63,Non-Life (P&C),Insurance
Groupement Togolais D'Assurances,Togo,2023,15.26,8.1,,,20.11,14.12,Non-Life (P&C),Insurance
Groupement Togolais D'Assurances Vie,Togo,2023,21.59,5.17,,,29.45,20.53,Life,Insurance
La Citoyenne Vie,Togo,2023,1.21,45.79,,,1.65,0.83,Life,Insurance
NSIA Vie Togo,Togo,2023,9.88,-14.11,,,13.47,11.5,Life,Insurance
Nouvelle Societe Interafricaine D'Assurances,Togo,2023,15.07,14.01,,,19.87,13.22,Non-Life (P&C),Insurance
Prudential Beneficial Life,Togo,2023,8.82,,,,12.03,,Life,Insurance
Sanlam Assurance,Togo,2023,26.07,1.96,,,34.36,25.56,Non-Life (P&C),Insurance
Sunu Assurances IARD - TOGO,Togo,2023,14.07,-5.78,,,18.55,14.94,Non-Life (P&C),Insurance
Sunu Assurances Vie Togo,Togo,2023,25.37,32.97,,,34.6,19.08,Life,Insurance
ASTREE Assurances,Tunisia,2024,56.19,4.82,,,6.57,53.61,Non-Life (P&C),Insurance
ASTREE Assurances,Tunisia,2024,24.84,8.6,,,6.72,22.87,Life,Insurance
ATTIJARI ASS.,Tunisia,2024,45.81,6.24,,,12.4,43.12,Life,Insurance
At-Takafulia Assurances,Tunisia,2024,12.97,4.71,,,1.52,12.39,Non-Life (P&C),Insurance
At-Takafulia Assurances,Tunisia,2024,9.24,132.19,,,2.5,3.98,Life,Insurance
BH Assurances,Tunisia,2024,35.41,7.49,,,4.14,32.95,Non-Life (P&C),Insurance
BH Assurances,Tunisia,2024,28.53,20.73,,,7.72,23.63,Life,Insurance
BIAT Assurances,Tunisia,2024,35.64,13.66,,,4.17,31.35,Non-Life (P&C),Insurance
BIAT Assurances,Tunisia,2024,54.33,15.38,,,14.7,47.09,Life,Insurance
BNA Assurances,Tunisia,2024,47.2,,,,5.52,,Non-Life (P&C),Insurance
BNA Assurances,Tunisia,2024,8.84,,,,2.39,,Life,Insurance
CARTE VIE Assurances,Tunisia,2024,29.71,1.62,,,8.04,29.24,Life,Insurance
Caisse Tunisienne d'assurances Mutulles Agricoles,Tunisia,2024,61.4,11.54,,,7.18,55.05,Non-Life (P&C),Insurance
Caisse Tunisienne d'assurances Mutulles Agricoles,Tunisia,2024,5.19,-2.28,,,1.4,5.31,Life,Insurance
Compagnie Mediterraneenne d’Assurances et de Reassurances (COMAR),Tunisia,2024,83.98,3.4,,,9.82,81.21,Non-Life (P&C),Insurance
Compagnie Mediterraneenne d’Assurances et de Reassurances (COMAR),Tunisia,2024,2.56,8.86,,,0.69,2.35,Life,Insurance
Compagnie Tunisienne Pour L'assurance du Commerce Exterieur,Tunisia,2024,4.32,4.71,,,0.51,4.13,Non-Life (P&C),Insurance
Compagnie d'Assurances et de Reassurances Tuniso-Europeenne,Tunisia,2024,54.65,8.0,,,6.39,50.61,Non-Life (P&C),Insurance
El Amana Takaful Assurances,Tunisia,2024,14.75,11.9,,,1.73,13.18,Non-Life (P&C),Insurance
El Amana Takaful Assurances,Tunisia,2024,3.83,28.35,,,1.04,2.98,Life,Insurance
GAT Assurances,Tunisia,2024,81.74,-0.95,,,9.56,82.52,Non-Life (P&C),Insurance
GAT Assurances,Tunisia,2024,0.95,-36.37,,,0.26,1.5,Life,Insurance
GAT Vie Assurances,Tunisia,2024,23.28,23.2,,,6.3,18.9,Life,Insurance
Hayett Assurances - Compagnie d'assurance vie et de capitalisation,Tunisia,2024,36.16,18.54,,,9.79,30.5,Life,Insurance
LLOYD Assurances,Tunisia,2024,68.67,10.18,,,8.03,62.33,Non-Life (P&C),Insurance
LLOYD Assurances,Tunisia,2024,0.79,4.19,,,0.21,0.76,Life,Insurance
LLOYD Vie Assurances,Tunisia,2024,7.33,119.58,,,1.98,3.34,Life,Insurance
Mae Assurances,Tunisia,2024,61.69,10.43,,,7.22,55.86,Non-Life (P&C),Insurance
Mae Assurances,Tunisia,2024,5.48,2.61,,,1.48,5.34,Life,Insurance
Maghrebia Assurances SA,Tunisia,2024,86.1,7.57,,,10.07,80.04,Non-Life (P&C),Insurance
Maghrebia Assurances Vie SA,Tunisia,2024,41.31,14.99,,,11.18,35.93,Life,Insurance
Societe Tunisienne d'Assurances et de Reassurances (STAR),Tunisia,2024,120.84,8.95,,,14.14,110.91,Non-Life (P&C),Insurance
Societe Tunisienne d'Assurances et de Reassurances (STAR),Tunisia,2024,17.52,27.75,,,4.74,13.71,Life,Insurance
UIB Assurances,Tunisia,2024,12.56,,,,3.4,0.0,Life,Insurance
ZITOUNA TAK.,Tunisia,2024,29.3,25.34,,,3.43,23.38,Non-Life (P&C),Insurance
ZITOUNA TAK.,Tunisia,2024,11.23,13.71,,,3.04,9.88,Life,Insurance
AAR,Uganda,2025,13.66,,,,4.92,,Non-Life (P&C),Insurance
APA Insurance (Uganda) Limited,Uganda,2025,9.89,25.5,,,3.56,7.88,Non-Life (P&C),Insurance
Alliance Africa General Insurance Limited,Uganda,2025,11.75,37.29,,,4.23,8.56,Non-Life (P&C),Insurance
Britam Insurance Company (Uganda) Limited,Uganda,2025,23.62,6.8,,,8.5,22.11,Non-Life (P&C),Insurance
Britam Life,Uganda,2025,0.33,,,,0.12,,Life,Insurance
CIC Africa Life Assurance Limited,Uganda,2025,4.01,-1.28,,,1.47,4.06,Life,Insurance
CIC General Insurance Uganda Limited,Uganda,2025,3.49,-57.41,,,1.26,8.19,Non-Life (P&C),Insurance
Excel Insurance Company Limited,Uganda,2025,2.97,-10.17,,,1.07,3.31,Non-Life (P&C),Insurance
GA Insurance Uganda Limited,Uganda,2025,11.11,40.4,,,4.0,7.91,Non-Life (P&C),Insurance
Goldstar Insurance Company Limited,Uganda,2025,14.76,21.33,,,5.31,12.17,Non-Life (P&C),Insurance
ICEA General Insurance Co.Ltd,Uganda,2025,16.94,47.74,,,6.1,11.47,Non-Life (P&C),Insurance
ICEA Lion Life Assurance Company (U) Limited,Uganda,2025,54.69,54.79,,,20.11,35.33,Life,Insurance
Jubilee Health Insurance Company of Uganda Limited,Uganda,2025,0.0,-100.0,,,0.0,26.44,Non-Life (P&C),Insurance
Jubilee Life Insurance Company of Uganda,Uganda,2025,70.45,130.51,,,25.91,30.56,Life,Insurance
Liberty General Insurance Uganda Limited,Uganda,2025,12.58,22.81,,,4.53,10.25,Non-Life (P&C),Insurance
Liberty Life Assurance Uganda Limited,Uganda,2025,23.07,27.25,,,8.48,18.13,Life,Insurance
MUA Insurance (Uganda) Limited,Uganda,2025,10.37,15.36,,,3.73,8.99,Non-Life (P&C),Insurance
Mayfair Insurance Company Uganda Limited,Uganda,2025,8.66,20.77,,,3.11,7.17,Non-Life (P&C),Insurance
Mirai General,Uganda,2025,1.96,,,,0.71,,Non-Life (P&C),Insurance
NIC General Insurance Company Limited,Uganda,2025,8.42,-0.15,,,3.03,8.43,Non-Life (P&C),Insurance
NIC Life Assurance Company Limited,Uganda,2025,0.45,-9.9,,,0.17,0.5,Life,Insurance
Old Mutual General,Uganda,2025,57.5,,,,20.69,,Non-Life (P&C),Insurance
Old Mutual Life,Uganda,2025,32.11,,,,11.81,,Life,Insurance
Pax Insurance Company Limited,Uganda,2025,3.25,13.51,,,1.17,2.86,Non-Life (P&C),Insurance
Prudential Assurance Uganda Limited,Uganda,2025,65.19,24.77,,,23.97,52.24,Life,Insurance
Sanlam Allianz,Uganda,2025,58.14,,,,20.91,,Non-Life (P&C),Insurance
Sanlam Life Insurance Uganda Limited,Uganda,2025,21.62,0.93,,,7.95,21.42,Life,Insurance
Statewide Insurance Company Limited,Uganda,2025,5.66,3.61,,,2.04,5.46,Non-Life (P&C),Insurance
TransAfrica Assurance Co. Ltd.,Uganda,2025,3.23,34.76,,,1.16,2.4,Non-Life (P&C),Insurance
A Plus General Insurance Limited,Zambia,2023,2.47,8.27,,,1.0,2.28,Non-Life (P&C),Insurance
Absa Life Limited,Zambia,2023,5.14,0.54,,,3.69,5.12,Life,Insurance
Adelvis General Insurance Limited,Zambia,2023,0.99,-56.68,,,0.4,2.28,Non-Life (P&C),Insurance
Advantage General Insurance Limited,Zambia,2023,2.22,-2.55,,,0.9,2.28,Non-Life (P&C),Insurance
Africa Pride Insurance Company,Zambia,2023,8.65,26.33,,,3.5,6.85,Non-Life (P&C),Insurance
Bestlife Insurance,Zambia,2023,0.28,,,,0.2,,Life,Insurance
Discover Insurance Company Limited,Zambia,2023,1.98,,,,0.8,,Non-Life (P&C),Insurance
General Alliance Insurance Zambia Limited,Zambia,2023,1.98,-13.38,,,0.8,2.28,Non-Life (P&C),Insurance
Golden Lotus Insurance Limited,Zambia,2023,3.96,-13.38,,,1.6,4.57,Non-Life (P&C),Insurance
Goldman Insurance Limited,Zambia,2023,6.92,1.07,,,2.8,6.85,Non-Life (P&C),Insurance
Hollard Insurance Zambia Limited,Zambia,2023,20.52,-0.14,,,8.3,20.55,Non-Life (P&C),Insurance
Hollard Insurance Zambia Limited,Zambia,2023,4.86,26.81,,,3.49,3.84,Life,Insurance
Indigo General Insurance Limited,Zambia,2023,0.49,,,,0.2,,Non-Life (P&C),Insurance
Innovate Insurance Limited,Zambia,2023,0.99,-56.68,,,0.4,2.28,Non-Life (P&C),Insurance
Klapton Insurance Zambia,Zambia,2023,0.74,,,,0.3,,Non-Life (P&C),Insurance
Liberty Life Insurance Zambia Ltd,Zambia,2023,10.7,19.56,,,7.68,8.95,Life,Insurance
Madison General Insurance Company Zambia Limited,Zambia,2023,14.58,-8.74,,,5.9,15.98,Non-Life (P&C),Insurance
Madison Life Insurance Company Zambia Ltd,Zambia,2023,15.85,12.64,,,11.38,14.07,Life,Insurance
Mayfair Insurance Company Zambia Limited,Zambia,2023,11.12,21.81,,,4.5,9.13,Non-Life (P&C),Insurance
NICO Insurance Zambia Ltd,Zambia,2023,24.72,-16.71,,,10.0,29.68,Non-Life (P&C),Insurance
OneLife Assurance Zambia Ltd,Zambia,2023,14.73,15.21,,,10.58,12.79,Life,Insurance
Phoenix of Zambia Assurance Company (2009) Limited,Zambia,2023,3.21,40.75,,,1.3,2.28,Non-Life (P&C),Insurance
Professional Insurance Corporation Zambia Plc,Zambia,2023,76.14,7.58,,,30.8,70.77,Non-Life (P&C),Insurance
Prudential Life Assurance Zambia,Zambia,2023,38.92,8.69,,,27.94,35.81,Life,Insurance
Sanlam Life Zambia Limited,Zambia,2023,21.13,-8.22,,,15.17,23.02,Life,Insurance
Savenda General Insurance,Zambia,2023,4.7,105.72,,,1.9,2.28,Non-Life (P&C),Insurance
Specialty Emergency Services,Zambia,2023,14.04,21.97,,,10.08,11.51,Life,Insurance
Swan Insurance Company Zambia Limited,Zambia,2023,19.53,113.85,,,7.9,9.13,Non-Life (P&C),Insurance
Veritas General Insurance Limited,Zambia,2023,0.74,,,,0.3,,Non-Life (P&C),Insurance
ZSIC General Insurance Limited,Zambia,2023,40.54,18.38,,,16.4,34.24,Non-Life (P&C),Insurance
ZSIC Life Ltd,Zambia,2023,13.62,6.51,,,9.78,12.79,Life,Insurance
